Date,Close,High,Low,Open,Volume
6/2/2020,157.4062195,161.1169316,156.967315,161.1169316,22631373
6/3/2020,156.9673157,160.3189286,156.089519,159.6007302,18979188
6/4/2020,159.720459,161.5957728,155.6107442,157.8052547,21996048
6/5/2020,159.6007385,161.1967459,158.5234287,161.0371476,14629659
6/8/2020,157.7254333,162.5134558,157.2067358,161.914953,19551313
6/9/2020,158.4037476,164.5483741,157.7254395,158.2042466,39914264
6/10/2020,158.8426361,162.1144439,158.2441333,159.1618327,27199665
6/11/2020,155.012207,160.5982325,154.4935095,159.600728,19847133
6/12/2020,154.7329102,155.7703174,149.9049976,150.7827943,22562768
6/15/2020,149.3862762,154.7728007,148.6680779,154.7328981,24462536
6/16/2020,147.6306763,152.3787956,145.1568601,152.2590999,27636105
6/17/2020,144.5982666,147.6306831,144.1992648,146.8326794,24027295
6/18/2020,148.9075012,149.6256997,144.1992719,144.5982738,28887489
6/19/2020,146.8725739,149.9847832,146.5134746,149.3064874,30531449
6/22/2020,147.6306763,149.6256854,146.1543646,148.8276818,31395991
6/23/2020,148.3089752,149.6256763,147.4311664,147.9498639,26546793
6/24/2020,153.0970001,155.3713031,148.5483697,149.5458743,54652978
6/25/2020,161.2765503,162.3937506,152.937402,153.4162091,75574255
6/26/2020,155.7703247,167.1019752,154.2541225,164.3887674,71956002
6/29/2020,157.4062195,161.9947405,156.5683132,161.5957386,91503336
6/30/2020,155.3314209,159.1219386,154.8127233,159.1219386,41210494
7/1/2020,161.914917,162.6730301,155.3313876,155.3313876,44297953
7/2/2020,164.2690582,164.9872567,161.6356437,163.1518458,39320871
7/3/2020,165.6256409,166.3837418,164.3887329,165.98474,37893277
7/6/2020,167.6393738,169.4432958,166.9261882,168.1008461,34710176
7/7/2020,162.9826965,168.22667,162.7729376,167.8071522,31263172
7/8/2020,164.702713,166.0871168,162.9826872,162.9826872,21274354
7/9/2020,163.9895325,165.2900404,162.8987835,165.2061317,18769502
7/10/2020,163.0666046,164.8705264,162.772937,163.737823,16191544
7/13/2020,165.7515106,166.7583509,163.6958756,164.367094,20297515
7/14/2020,164.3670959,167.3876297,161.7241385,165.6256496,18474376
7/15/2020,166.7164154,167.8071645,163.1924675,164.7446889,23776757
7/16/2020,162.6470795,166.8422581,161.0948583,166.716395,22144320
7/17/2020,162.8149109,163.9476016,161.9339207,162.185634,14882294
7/20/2020,161.6822052,163.9056579,161.3885503,163.6119902,18914963
7/21/2020,161.3046265,162.9407437,160.6753496,161.1787762,28010715
7/22/2020,164.9124756,166.0451661,161.5143783,161.9338962,32572133
7/23/2020,168.394455,169.065686,165.122221,165.8353936,31488108
7/24/2020,167.4715576,169.2335252,165.5417726,168.6462027,60183102
7/27/2020,164.7866058,168.2266573,163.7378112,168.2266573,22645697
7/28/2020,163.9475861,166.6744523,163.6539312,165.2900484,19287132
7/29/2020,165.0383453,166.2968991,162.2695245,162.3114789,14831635
7/30/2020,162.2275696,166.4646899,161.5143841,166.4646899,16315231
7/31/2020,162.8987885,165.2480912,162.3534203,162.3534203,16652851
8/3/2020,161.5983124,162.7729575,161.010977,162.7729575,13265411
8/4/2020,162.4793091,164.2832441,161.5983316,161.5983316,17187619
8/5/2020,161.7660828,163.2763496,160.8431384,163.1924409,48768332
8/6/2020,163.9056244,164.1153833,162.0177941,162.9407257,17886089
8/7/2020,164.4929504,165.2900318,162.8987749,164.0314782,20911818
8/10/2020,166.8422699,167.5134883,164.786622,164.786622,16474505
8/11/2020,170.3662109,174.267722,167.8071493,167.8071493,55142972
8/12/2020,171.3311005,171.9184229,168.142762,169.9047422,21287010
8/13/2020,169.0237427,171.3310909,165.373945,170.7437685,22698888
8/14/2020,164.7866058,170.6179142,164.0314788,169.1496017,28751298
8/17/2020,166.7583618,167.3876387,165.164199,166.1710393,11740766
8/18/2020,166.5905762,167.7232669,165.499827,167.7232669,12488159
8/19/2020,166.5066223,169.2334882,166.2129675,166.6324853,15474353
8/20/2020,164.2831879,165.4578327,163.2343933,165.2900281,16910449
8/21/2020,165.1222382,167.1359188,164.7027203,166.1290785,17233813
8/24/2020,165.0383453,166.9681303,164.7446905,165.4998176,14737317
8/25/2020,163.9475861,166.3807975,163.6958856,165.4998074,15199264
8/26/2020,163.5700226,164.912485,162.4792735,164.8705306,22631175
